case,side,moneyness,time,rate,dividend_yield,volatility,price,delta,gamma,vega
bs_01,call,0.75,0.0821917808219178,-0.01,0.0,0.08,25.000000000000004,1.0,1.0320123480909865e-35,6.785834617584568e-34
bs_02,put,1.0,0.0821917808219178,0.03,0.06,0.2,2.2758992948731174,-0.486160820058816,0.06920630646996555,11.376379145747762
bs_03,call,1.25,0.0821917808219178,0.08,0.02,0.6,0.8770541045812337,0.11271850087924658,0.011118843002007796,5.483265042086036
bs_04,put,0.75,1.0,-0.01,0.02,0.6,10.168267401187531,-0.2135376688796181,0.004809943554328821,28.859661325972926
bs_05,call,1.0,1.0,0.03,0.0,0.08,3.190687370566149,0.5159534368528308,0.04982790677557563,39.8623254204605
bs_06,put,1.25,1.0,0.08,0.06,0.2,24.940196283196745,-0.7959022486219224,0.011214899331745699,22.429798663491397
bs_07,call,0.75,5.0,-0.01,0.06,0.2,22.96681370320035,0.5978381324962416,0.004538615650489391,45.38615650489391
bs_08,put,1.0,5.0,0.03,0.02,0.6,45.03059549431912,-0.2272657315463841,0.002148464127021438,64.45392381064315
bs_09,call,1.25,5.0,0.08,0.0,0.08,1.0144496502065368,0.12343861820984087,0.011406823207550418,45.62729283020168
bs_10,put,0.75,0.0821917808219178,0.03,0.0,0.2,2.4184854692239165e-07,-2.2563408719200595e-07,2.0584595586082778e-07,3.383769137438265e-05
bs_11,call,1.0,0.0821917808219178,0.08,0.06,0.6,6.820223668919061,0.5316414348777768,0.02299305083181637,11.339038766375195
bs_12,put,1.25,0.0821917808219178,-0.01,0.02,0.08,24.95893786853263,-0.9983575147413052,5.41069742046191e-22,3.5577188518105705e-20
bs_13,call,0.75,1.0,0.03,0.02,0.08,24.505236569950213,0.9800629763178611,6.581108504097091e-05,0.05264886803277673
bs_14,put,1.0,1.0,0.08,0.0,0.2,7.965567455405795,-0.460172162722971,0.01984762737385059,39.69525474770118
bs_15,call,1.25,1.0,-0.01,0.06,0.6,14.862093916094816,0.4438897788674607,0.0062456608146281515,37.47396488776891
bs_16,put,0.75,5.0,0.03,0.06,0.6,23.628265541260056,-0.13928271326558772,0.0014887294401405638,44.66188320421692
bs_17,call,1.0,5.0,0.08,0.02,0.08,6.44876953143994,0.48466255667517943,0.020098722340201564,80.39488936080626
bs_18,put,1.25,5.0,-0.01,0.0,0.2,34.78061514576902,-0.6084791468043599,0.008588762651818549,85.8876265181855
